post_text,post_id,user_id,username,reply_to_post_num,topic_id,post_num,reply_count,created_at,updated_at,num_reads,topic_slug,forum_name
"![](https://community.quickfile.co.uk/user_avatar/community.quickfile.co.uk/sysyem_x/40/18545_2.png) Sysyem_X: > Love your website, btw Slightly off topic, but I never even looked until you mentioned that. Turns out I have walked past it several times this week, and however many hundreds of times over the years. Got an office a few doors down! ",129612,655,Lurch,5,35635,8,1,2020-06-05T15:43:08.160Z,2020-06-05T15:43:08.160Z,9,starling-bank-card-transactions-not-importing,quickfile
"![](https://community.quickfile.co.uk/letter_avatar_proxy/v4/letter/l/a9a28c/40.png) Lurch: > Turns out I have walked past it several times this week, and however many > hundreds of times over the years. Got an office a few doors down! Small world! Yeah, the shop is mainly run by my wife, I use QuickFile to do the books around my “day job” writing software at the university. ",129625,501,ian_roberts,8,35635,9,1,2020-06-05T19:33:49.194Z,2020-06-05T19:33:49.194Z,8,starling-bank-card-transactions-not-importing,quickfile
"Small world again, I know some people in the University IT department! ",129630,655,Lurch,9,35635,10,0,2020-06-05T21:26:22.592Z,2020-06-05T21:26:22.592Z,8,starling-bank-card-transactions-not-importing,quickfile
Hi How do I find out why these don’t balance please? Tx ,129569,781,Matt,,35645,1,0,2020-06-05T12:12:44.409Z,2020-06-08T08:07:17.864Z,9,net-cash-flows-and-net-change-in-cash-are-not-balancing,quickfile
"Hi [@Matt](/u/matt) It’s likely to be down to a journal that’s affecting these figures. It can take a bit of time, but try and find out, by adjusting the dates of the report, when it last balanced. That will identify when the change took place to throw it off. ",129571,3328,QFMathew,,35645,2,1,2020-06-05T12:18:49.935Z,2020-06-05T12:18:49.935Z,9,net-cash-flows-and-net-change-in-cash-are-not-balancing,quickfile
"Hi [Matt](https://community.quickfile.co.uk/u/Matt),  It is also worth to calculate the difference from these two amounts and then look/search for a purchase or sales invoice with that amount. ",129573,10457,rhc,,35645,3,0,2020-06-05T12:24:07.681Z,2020-06-05T12:24:07.681Z,9,net-cash-flows-and-net-change-in-cash-are-not-balancing,quickfile
Hi Matt So I’ve established the difference over 10 months (!) are referenced by ‘Created from bank transaction’ - how do I correct this please? I’ve checked a handful of these transactions and they are tagged “something not on the list” and split it across more than one code Sorted - entries all corrected manually Tx ![:slightly_smiling_face:](https://community.quickfile.co.uk/images/emoji/twitter/slightly_smiling_face.png?v=9) ,129644,781,Matt,2,35645,5,1,2020-06-06T07:29:49.651Z,2020-06-06T10:30:27.084Z,8,net-cash-flows-and-net-change-in-cash-are-not-balancing,quickfile
"Split tags like that are implemented by creating a journal in the background, so that’s consistent with Matthew’s comment about journals. ",129649,501,ian_roberts,5,35645,6,0,2020-06-06T10:32:36.004Z,2020-06-06T10:32:36.004Z,6,net-cash-flows-and-net-change-in-cash-are-not-balancing,quickfile
"I’ve stopped paying monthly fees to accept credit/debit cards, and now use the SQUARE payments system for both website based and mobile payments. <https://squareup.com/gb> Any chance it could become an integrated option? ",70502,2990,RGCreative,,19734,1,0,2018-01-23T18:46:59.658Z,2020-04-29T17:37:46.931Z,46,square-payments,quickfile
Thanks for getting in touch Robert. I did a quick search on the forum but I don’t believe this request has come up before. I will leave it here as an integration request and we will monitor interest in this feature going forward. Thanks! ,70516,3328,QFMathew,,19734,2,1,2018-01-24T10:24:33.361Z,2018-01-24T10:24:33.361Z,47,square-payments,quickfile
"Many thanks. It seems very new, but is the first easy sign-up, fee free, payments system that can be used totally flexibly.  * Integrates with shopping carts  * Works with invoice links  * Has a virtual terminal capability  * Works from mobile apps  * Has a chip & pin and contactless reader My website customers are dumping Sagepay and Worldpay etc. as fast as they can to save the monthly fees. Some pay fees like £30/month for a card machine in- house, £10/month for a gateway plus £20/month for a merchant account… which is nuts when the same capability is available FREE. ![:slight_smile:](https://community.quickfile.co.uk/images/emoji/twitter/slight_smile.png?v=5) ",70523,2990,RGCreative,2,19734,3,1,2018-01-24T13:55:50.513Z,2018-01-24T13:55:50.513Z,46,square-payments,quickfile
"Not “free”, rather “with a different pricing structure” where it all rolls into a higher percentage on each transaction rather than a lower percentage plus a monthly fee. I used to use Payleven in my shop but switched to a rented Barclaycard machine as the monthly subscription was offset by much cheaper percentages. For low turnover businesses something like Square/SumUp/iZettle will be cheaper overall but as turnover grows the higher percentage becomes more significant. ",70524,501,ian_roberts,3,19734,4,1,2018-01-24T14:30:37.172Z,2018-01-24T14:32:10.287Z,44,square-payments,quickfile
"I looked at these guys a while back and my understanding was that they charged a flat fee of 1.75% on any card and regardless of the number of transaction processed. Based on the £60pm cited you would still need to be at somewhat less than a £3,000pm to see any real advantage. They do have an amazing set of API’s though. ",70542,7344,DerekT,4,19734,5,0,2018-01-24T17:37:48.917Z,2018-01-24T17:37:48.917Z,44,square-payments,quickfile
"I create eCommerce websites for small businesses that don’t principally trade online, so their major concern is that they pay that £60 per month for the facility whether they get payments through the site or not. It’s a case of doing enough to justify the extra cost of the gateway. There’s a break-even point, where they’ve done enough trade to justify a subscription gateway over PayPal etc., the point being that with MOST of the non-subscription services like iZettle or SumUp, there’s no gateway - so yes, the API and ready-made integrations for Square give it a huge advantage in that arena. By using it to start up and grow the business online, businesses save a lot. Going from zero online trade to £3000+ is rather nice without a monthly fee or a 36 month contract - as Streamline sold to one poor guy here! It’s my opinion that the reason for contract tie-ins (and making them long) is the banks’ fear of services like Square suddenly booming and killing the golden goose that Sagepay, Worldpay, and Streamline etc. have been benefiting from for so long. I’d like to help kill it, to be honest, hence my request to get Square set up in Quickfile. The major banks fleece people enough with interest, fees, and penalty charges, without getting a slice of every transaction made on the web as well. ",70566,2990,RGCreative,,19734,6,1,2018-01-25T09:32:58.432Z,2018-01-25T09:32:58.432Z,43,square-payments,quickfile
"Point well made.  I was not criticising, just pointing out the break even level as I understood it. Certainly I would agree that it is worth considering for low t/o businesses or those where their average t/o over a year falls below the break even threshold. I guess it would be reasonably straight forward for QF to determine how many of their users, by turnover, would benefit by an integration to Square.  Only issue I can foresee is that most would probably be using QF subscription free based on their transaction level so a cost benefit analysis could well fail. ",70603,7344,DerekT,6,19734,7,0,2018-01-25T11:46:43.219Z,2018-01-25T11:46:43.219Z,41,square-payments,quickfile
Hi Quickfile. I too would welcome square payment integration. I love QuickFile but I also love Sqaure payments. Please can someone very smart integrate the two. Keep up the great work!  Thanks. ,75586,8627,Quick-as-hell,,19734,8,1,2018-05-06T10:33:28.058Z,2018-05-06T10:33:28.058Z,40,square-payments,quickfile
me too square is ok for me ,75801,8618,peter_jones,8,19734,9,0,2018-05-09T19:55:18.534Z,2018-05-09T19:55:18.534Z,39,square-payments,quickfile
Square for me too please ,77337,8798,Mark_Lock,,19734,10,0,2018-06-17T07:50:06.027Z,2018-06-17T07:50:06.027Z,35,square-payments,quickfile
"In the past twelve months I have converted every customer that used Worldpay, and every customer the used Sagepay, plus several that used Paypal, to using Square payments for their business - at THEIR request. I’ve spent the year creating invoices in Quickfile, then taking on the additional tasks of duplicating the details on a Square payment request, and then when I get the chance, manually updating Quickfile Invoices as paid. An integration here is at least as desirable as the one that exists for Go Cardless - actually far more so. When I suggested Go Cardless to Quickfile and put them in touch with each other, there was a very quick response, and integration happened within a few weeks. Frankly, Square is a beautiful system for small traders, and as long as customers find it weird to be setting up a DD authority for 'occasional invoices, Square will be used more. Come on Quickfile, let’s have it integrated. ",89313,2990,RGCreative,,19734,11,1,2019-01-31T14:23:28.670Z,2019-01-31T14:23:28.670Z,29,square-payments,quickfile
I would like to try Square payment system if it was integrated with Quickfile ,98998,3659,baldrick,11,19734,12,0,2019-05-07T17:07:21.487Z,2019-05-07T17:07:21.487Z,25,square-payments,quickfile
We have also moved over to square for payments it being integrated would be fantastic ,100700,2587,blueberry,,19734,13,0,2019-05-24T07:32:10.565Z,2019-05-24T07:32:10.565Z,25,square-payments,quickfile
"Hi all,  I moved this integration request to features so folks can give their vote now in the top left corner of this article. [RGCreative](https://community.quickfile.co.uk/u/RGCreative) you opened this request so I hope the move is ok for you. ",116099,10457,rhc,,19734,14,0,2019-11-15T14:30:11.346Z,2019-11-15T14:30:11.346Z,22,square-payments,quickfile
"This request isn’t going to get far unless it becomes proactive. Quickfile guys, why don’t you ask all your customers whether the integration would be a good idea for them? I’m sure you’d get an overwhelming YES. Even those asking here haven’t voted for it… because they don’t know they can! Please promote the option to test the response. In the past year, 75% of my business associates and clients have switched to Square for payment provision. Some of them have done this because whilst GoCardless charges less, it takes ten business days to get paid, whereas SQAURE deposits the money within 24 hours. Small businesses NEED this kind of cashflow even if it does cost a little more. ",116701,2990,RGCreative,,19734,15,1,2019-11-22T14:48:58.435Z,2019-11-22T14:48:58.435Z,22,square-payments,quickfile
"Looks like they have a good developer platform and clear documentation so that’s always a good start. How were you envisaging this to work? From what I can gather they provide the terminal for taking the card payments in person, so would the priortity be to have these payments feeding in real time to QuickFile? They appear to have an e-commerce integration too, so it may be possible to embed the Square payment option within the client invoice preview screen. With each new API we add there’s a long term commitment to maintaining that API through all the version changes. It’s a demand on our resources, so any hesitation on our side really comes down to this point. If it’s a solid platform with great potential (how we feel about GoCardless) then I think there’s a strong case. ",116727,2,Glenn,15,19734,16,1,2019-11-22T16:38:56.628Z,2019-11-22T16:38:56.628Z,22,square-payments,quickfile
"Hi [Glenn](https://community.quickfile.co.uk/u/Glenn),  I created a square integration over zapier to quickfile to create invoices and bank account entries. The zap is working okay but the wrong amount is transferred.  I made a test transaction over £1 on my square account:  ![screencapture-squareup-com-dashboard-sales- transactions-1588180398035](//quickfile-co-uk-forum-assets.s3.dualstack.eu- west-1.amazonaws.com/original/3X/9/5/9536bc2f122931628466b09f38e89578d0018bb7.png) But Square, I think, transfers the amounts in pence to zapier, in my test case 100:  ![screencapture-zapier-com-app- editor-85756922-nodes-85756922-sample-1588180278201](//quickfile-co-uk-forum- assets.s3.dualstack.eu- west-1.amazonaws.com/original/3X/4/f/4fc2b0376e3d32e8a00f3bd29c8f1952f579a95b.png)  And the quickfile app in zapier picks this up as £100 and creates an invoice and bank entry over £100.  ![screencapture-rhcounselling-quickfile-co-uk- sales-1588180438043](//quickfile-co-uk-forum-assets.s3.dualstack.eu- west-1.amazonaws.com/original/3X/8/7/87eb6aa3ca1f3c8faaa47252ab9d50eb7a92ca33.png) Is there anything you or I could do to get the right amount (£1)? I asked square but they said that is the way they transfer the data. Your help would be very much appreciated.  Thank you ",127349,10457,rhc,16,19734,17,1,2020-04-29T17:24:45.961Z,2020-04-29T17:24:45.961Z,11,square-payments,quickfile
"[@rhc](/u/rhc) we’ve built a direct Square integration and are currently going through the test and deployment phase. While it may be possible to adjust the Zapier handling with some custom rules, I think you’ll find the direct integration to be far more comprehensive. If you’re happy to be part of the beta group we can let you know as soon as this is live? ",127350,2,Glenn,17,19734,18,3,2020-04-29T17:37:25.236Z,2020-04-29T17:37:25.236Z,11,square-payments,quickfile
"Hi [Glenn](https://community.quickfile.co.uk/u/Glenn),  Thanks for your quick reply. That would be great if you could add me to your test group.  At the moment I use sumup and it is a pain to get all transaction into quickfile. They don’t support zapier or anything else, they also very but in customer support and help. So, I was looking for an alternative and found square. I was testing square in the last couple of month and it looks like they are pretty good.  So, long things short, yes I would be very happy to test square. 1 more thing, I hope that is okay: Over zapier, when a new transaction is send to quickfile it creates an invoice and except the amount everything looks fine. When there is no client so far with that name it creates a new client, but only the name is in the clients account. During the payment transaction the client provides everything important for the client account like address, email, phone and so on and square is sending this information but quickfile does not pick up all the information. As an feature in your new direct integration it would be fab if the client account would be created/filled completely, not only the name. That would me save a lot of time and may other people as well. Thanks again ",127352,10457,rhc,18,19734,19,0,2020-04-29T17:56:46.054Z,2020-04-29T17:59:32.221Z,13,square-payments,quickfile
I’d like to be part of the beta group please. ,127356,2990,RGCreative,,19734,20,1,2020-04-29T19:17:27.687Z,2020-04-29T19:17:27.687Z,13,square-payments,quickfile
"I need to make some year end corrections & Unlock the YE routine. Just to be clear( dont want to make some huge mistakes) , do i delete ALLthe YE Journals, make my corrections and then Lock the accounts which I hope then generates a new set of YE journals? TIA Dave ",129658,13928,dmarti32,,35669,1,0,2020-06-06T12:52:25.553Z,2020-06-08T08:14:12.308Z,8,unlock-year-end,quickfile
You need to remove the year end lock first. Then delete the year end journals. Make your adjustments then set the year end again. And it will create new year end journals. ,129660,9383,Paul_Courtier,,35669,2,1,2020-06-06T13:37:35.211Z,2020-06-06T13:37:35.211Z,8,unlock-year-end,quickfile
Thanks for the prompt response Paul. ![:+1:](https://community.quickfile.co.uk/images/emoji/twitter/+1.png?v=9) ,129662,13928,dmarti32,2,35669,3,0,2020-06-06T14:11:50.061Z,2020-06-06T14:11:50.061Z,8,unlock-year-end,quickfile
Quickbooks Self-employed has a way of “Separating business income and expenses from your personal transactions with a simple swipe” Is something like this possible with Quickfile - how can i easy categorise something to be a business or personal transaction from my Bank feed? (Worth noting I’m self-employed) ,129667,13477,thecharleskerr,,35672,1,0,2020-06-06T16:37:25.165Z,2020-06-08T08:14:19.260Z,11,easy-way-of-seperating-personal-business-transactions,quickfile
Personal expenses shouldn’t be recorded anyway. Quickbooks may let you seperate the two for your own information but in reality any personal expense should be tagged as either proprietor drawings or directors loan account depending on if your self employed or a Ltd company. If you have regular reoccurring personal expenses you can use auto tagging to tag them automatically to drawings. However if some expenses from the same company are sometimes business related that won’t work. ,129668,9383,Paul_Courtier,,35672,2,0,2020-06-06T18:11:39.294Z,2020-06-06T18:12:48.829Z,10,easy-way-of-seperating-personal-business-transactions,quickfile
"I create and send out all my invoices using Adobe Design Software (I’m a designer/work in Marketing), do I have to manually recreate all these invoices in Quickfile to link them to incoming payments from my bank feed? ",129665,13477,thecharleskerr,,35671,1,0,2020-06-06T15:57:38.170Z,2020-06-08T08:14:34.116Z,10,do-i-need-to-re-create-invoices,quickfile
"Hi, You create a kind of dummy-invoice in quickfile to which you could upload and attach the original invoice, or you write the original invoice number into the quickfile invoice as a reference and keep the original invoice on a safe place.  I don’t know Adobe Design Software but you may have the option to create a csv file from all your invoices and upload the csv file to quickfile which will create a copy of all your original invoices. ",129666,10457,rhc,,35671,2,0,2020-06-06T16:31:17.587Z,2020-06-06T16:31:17.587Z,10,do-i-need-to-re-create-invoices,quickfile
You can also just use the bulk invoice import and just type a list of your invoices to add. ,129669,9383,Paul_Courtier,,35671,3,0,2020-06-06T18:14:19.807Z,2020-06-06T18:14:19.807Z,10,do-i-need-to-re-create-invoices,quickfile
How do i introduce the bounce bank loans and account for it in Quick file ,129681,13851,Julia_Rymell,,35678,1,0,2020-06-07T13:22:28.952Z,2020-06-08T08:18:22.245Z,13,how-do-i-record-the-bounce-back-loan,quickfile
"Like any other loan - create a new bank account and tag the loan you receive in your current account as a bank transfer from the loan account. This makes the loan account show overdrawn (a liability), and when you make payments towards it you would tag those as transfers back the other way. ",129682,501,ian_roberts,,35678,2,0,2020-06-07T13:27:36.372Z,2020-06-07T13:27:36.372Z,12,how-do-i-record-the-bounce-back-loan,quickfile
I have 2 clients managed by 1 property company. I have to send them their individual invoice and the property company that manages them usually pay me seperately. I then just tag the payment to the invoice. easy but… This time I have 1 payment ie. 250. I can tag this payment to client A for the outstanding invoice of 180. This leaves me with 70. But I can not attach this remainder to Client B becasue it is associated with Client A. Is there a simple answer out there? Mike ,129672,12750,Clearviewcleaner_Bri,,35675,1,0,2020-06-07T07:35:37.020Z,2020-06-08T08:20:27.503Z,8,2-clients-but-1-payment,quickfile
"QuickFile doesn’t let you tag one bank transaction to two different clients, you have to either delete the 250 transaction and manually create two separate ones for 180 and 70, or tag the 250 as a bank transfer from another account (e.g. director loan/drawings) and then log the separate 180 and 70 payments in that account rather than the main current account. ",129674,501,ian_roberts,,35675,2,0,2020-06-07T09:25:34.137Z,2020-06-07T09:25:34.137Z,8,2-clients-but-1-payment,quickfile
Genius. Thank you. Makes so much sense and so obvious… ,129689,12750,Clearviewcleaner_Bri,,35675,3,0,2020-06-07T17:37:59.641Z,2020-06-07T17:37:59.641Z,7,2-clients-but-1-payment,quickfile
Hi The Opening balance 01.01.20 does not agree with my closing balance as at 31.12.19 - any ideas why please? Thanks  Lyndsey ,129650,781,Matt,,35662,1,0,2020-06-06T10:42:06.863Z,2020-06-06T10:42:06.863Z,10,statement-of-cash-flows-opening-and-closing-balances,quickfile
Well some things won’t match. The year end journal moves some items from one nominal to another. What exactly doesn’t match that you would expect it to? ,129661,9383,Paul_Courtier,,35662,2,1,2020-06-06T13:39:55.016Z,2020-06-06T13:39:55.016Z,10,statement-of-cash-flows-opening-and-closing-balances,quickfile
"Hi Paul On the Statement of Cash Flows, under the heading Cash and Cash Equivalents, I’d expect the ‘Beginning of period’ figure to be the same as the previous year’s ‘End of period’ figure. Thanks ![:slight_smile:](https://community.quickfile.co.uk/images/emoji/twitter/slight_smile.png?v=9) ",129673,781,Matt,2,35662,3,0,2020-06-07T08:06:59.181Z,2020-06-07T08:06:59.181Z,10,statement-of-cash-flows-opening-and-closing-balances,quickfile
Sadly I can’t check mine because I get an error regarding missing nominals. It is a beta extension so its likely to be buggy but maybe [@QFMathew](/u/qfmathew) can assist. ,129675,9383,Paul_Courtier,,35662,4,0,2020-06-07T10:47:05.728Z,2020-06-07T10:47:05.728Z,8,statement-of-cash-flows-opening-and-closing-balances,quickfile
"Hi [@Matt](/u/matt) This is due to the nominated bank accounts at the beginning of the period being considered as Cash or Cash Equivalent (C or CE), so it just takes the balance of all those accounts. The report then looks at all cash based movements across those accounts from the report opening date to the close date. So when you run the same report for the next consecutive period the C or CE open balances will be reset to the bank balances on the account. I hope that makes sense? ",129696,3328,QFMathew,,35662,5,0,2020-06-08T08:17:36.497Z,2020-06-08T08:17:36.497Z,6,statement-of-cash-flows-opening-and-closing-balances,quickfile
"Hello all. Hope you’re safe and well.  I just generated a statement for a customer with some overdue invoices. One invoice (on a 30 day account) is 33 days old and is annotated in red ‘Overdue by 3 days’. However, the value of the invoice shows at the bottom as being in the 0-15 days category. Is this something that I have incorrectly configured? Cheers  Andy ",129678,12806,andythornton,,35677,1,0,2020-06-07T11:45:40.522Z,2020-06-08T08:20:18.969Z,9,customer-statement-confusion,quickfile
3 days overdue is between 0 - 15? In guessing. ,129679,9383,Paul_Courtier,,35677,2,0,2020-06-07T12:19:03.620Z,2020-06-07T12:19:03.620Z,9,customer-statement-confusion,quickfile
"D’ya know, I didn’t think of that! My previous accounting software categorised the real age of the invoice, not the ‘past due’ age. Many thanks, and apologies for a silly question that should have dawned on me…!! ",129683,12806,andythornton,,35677,3,1,2020-06-07T13:53:20.992Z,2020-06-07T13:53:20.992Z,9,customer-statement-confusion,quickfile
"You’re not alone here. I often get statements from suppliers and have no idea what I actually owe as the bit at the bottom is often used/formatted differently and isn’t always clear whether it is overdue or invoice ageing. I suppose both ways make sense, just needs a clearer heading for the table? ",129684,655,Lurch,3,35677,4,0,2020-06-07T14:00:05.473Z,2020-06-07T14:00:05.473Z,9,customer-statement-confusion,quickfile
Absolutely Lurch. I was going to ask if there’s a way to annotate the aged section text/title to clarify it better. ,129685,12806,andythornton,,35677,5,0,2020-06-07T14:17:41.975Z,2020-06-07T14:17:41.975Z,9,customer-statement-confusion,quickfile
"Hi [@andythornton](/u/andythornton) As [@Paul_Courtier](/u/paul_courtier) mentions, it is the amount of days the invoices are overdue. This should match your Debtors Ageing Report. ",129697,3328,QFMathew,,35677,6,0,2020-06-08T08:20:15.014Z,2020-06-08T08:20:15.014Z,7,customer-statement-confusion,quickfile
"Hi I was collating some paid payments i have found it to be quite clunky because the ""view all payments section on a client account gives you the payments which is great but i need to be able to see what those payments are for now it tells me which invoices it relates to but then i have to have the show all invoices section open to then look to see what the invoice was for. is it possible to give the option to display the invoice name or description on the “show all payments” report or have an option to show the paid date in the show all invoices report so that i only have to look at one report making it easier to collate and present ",62612,1497,mathump3,,17488,1,0,2017-07-24T16:16:59.392Z,2017-07-24T16:28:20.904Z,21,showing-paid-dates-on-the-invoice,quickfile
"Hi [@mathump3](/u/mathump3) Thank you for your suggestion. We’ll certainly leave this open for other users to add their votes and comments. If there’s enough interest from the community, we’ll take a closer look at this. ",62613,3328,QFMathew,,17488,2,0,2017-07-24T16:28:54.255Z,2017-07-24T16:28:54.255Z,21,showing-paid-dates-on-the-invoice,quickfile
I agree as i am just trying to double check everything and would be nice to see or have the option to change the fields so you can see DatePaid so you can check this off against Bank Statements and how it was paid ,129690,14074,john.helyar,,17488,3,0,2020-06-07T18:07:33.739Z,2020-06-07T18:07:33.739Z,10,showing-paid-dates-on-the-invoice,quickfile
Hi [@john.helyar](/u/john.helyar) You can add your vote for this feature by clicking “Vote” at the top of the page. ,129698,3328,QFMathew,,17488,4,0,2020-06-08T08:21:13.059Z,2020-06-08T08:21:13.059Z,8,showing-paid-dates-on-the-invoice,quickfile
"Continuing the discussion from [Sales Invoice - Addressed to Primary Contact (Implemented)](http://community.quickfile.co.uk/t/sales-invoice-addressed-to- primary-contact-implemented/1838/4): ![](https://community.quickfile.co.uk/user_avatar/community.quickfile.co.uk/glenn/40/11888_2.png)[Sales Invoice - Addressed to Primary Contact (Implemented)](https://community.quickfile.co.uk/t/sales-invoice-addressed-to- primary-contact-implemented/1838/4) > We’ve implemented a change to the client selection process in the invoice > creation screen. Now when you click to modify the address, you can also > change the recipient name. You can type whatever you like here so the > recipient does not necessarily need to be listed as a client contact. > > > ![](https://community.quickfile.co.uk/uploads/default/original/2X/1/1e1467ea9dae114912a84d247d0668ad2dc5a93a.png) This freehand version could be moved up to selecting from the list of stored client contact details to get a delivery/site address feature! At the moment only fields; first name, surname, first contact number, second contact number, email address are available for each Client Contact But this Client Contact details card could also include a delivery/site address, department, etc. If these details could be called twice, once for invoice address (with default) and once for (additional address box) delivery/site address as described and put on the invoice/estimate form with additional notes/payment terms. Similar request:  ![](/letter_avatar_proxy/v2/letter/m/9fc348/40.png) [Site Address needed on invoices](http://community.quickfile.co.uk/t/site-address-needed-on- invoices/2609/4) [feature](/c/feature) > Hi, I agree with the idea. I suggest the possibility of including a box for > the address where the work is done (it should appear in the “all invoices” > to facilitate the search for invoices). This would facilitate those who work > in different places for the same agency/contractor/customer. Thanks. ",33733,64,alan_mcbrien,,9403,1,0,2015-11-06T13:43:37.169Z,2015-11-06T13:43:37.169Z,64,delivery-address-site-address-on-sales-invoices,quickfile
Well that is very good so that total for that customer in one not individual invoice you will have chase… ,46399,4962,Smartkleen,,9403,2,0,2016-08-03T07:26:07.539Z,2016-08-03T07:26:07.539Z,44,delivery-address-site-address-on-sales-invoices,quickfile
Is there any news on the delivery address feature? Would be really handy for a few of my big clients as their accounting offices are separate from the delivery site. ,46700,3013,Chippy,,9403,3,1,2016-08-15T08:20:30.691Z,2016-08-15T08:20:30.691Z,40,delivery-address-site-address-on-sales-invoices,quickfile
"Hi [@Chippy](/u/chippy) There are no updates at the moment, but we’ll be sure to update this thread if there is. Many of the features we add or develop further are based on demand within the QuickFile community. ",46701,3328,QFMathew,3,9403,4,1,2016-08-15T08:28:20.089Z,2016-08-15T08:28:20.089Z,40,delivery-address-site-address-on-sales-invoices,quickfile
Hi well I could do with delivery address column too if irs update i have client with multiple services point. ,55335,4962,Smartkleen,,9403,5,0,2017-02-12T04:27:18.150Z,2017-02-12T04:27:18.150Z,36,delivery-address-site-address-on-sales-invoices,quickfile
yes i would vote this +1 as we could really do with a delivery address option. ,55379,5310,march1972,,9403,6,0,2017-02-13T09:51:26.427Z,2017-02-13T09:51:26.427Z,34,delivery-address-site-address-on-sales-invoices,quickfile
"work around that works here, is use the “Invoice/Estimate Name” as short form address (site ref.) - not enough space to include complete address but using first line of address with postcode or locale creates sales records that can be searched by site address. ",55451,64,alan_mcbrien,,9403,7,0,2017-02-14T10:20:36.637Z,2017-02-14T10:20:36.637Z,33,delivery-address-site-address-on-sales-invoices,quickfile
yes this would be a useful feature any chance of this being implemented ,77998,8766,PFAccounts,,9403,8,0,2018-07-05T14:43:04.649Z,2018-07-05T14:43:14.132Z,27,delivery-address-site-address-on-sales-invoices,quickfile
[@alan_mcbrien](/u/alan_mcbrien) Perfect Just what we need. QF Please add a feature for an additional address. Thanks ,85247,5648,TudorJones,,9403,9,0,2018-11-30T09:47:20.399Z,2018-11-30T09:47:20.399Z,27,delivery-address-site-address-on-sales-invoices,quickfile
Please add delivery address option for invoices  Regards paul ,85260,9693,Paul_Barton1,,9403,10,0,2018-11-30T12:14:42.972Z,2018-11-30T12:14:42.972Z,27,delivery-address-site-address-on-sales-invoices,quickfile
We would like to see this too. ,85282,1751,FolkLondon,,9403,11,0,2018-11-30T16:30:47.979Z,2018-11-30T16:30:47.979Z,25,delivery-address-site-address-on-sales-invoices,quickfile
